Synset ID,Lemmas,Definition,F/M,Change
oewn-10489371-n,press lord,a powerful newspaper proprietor,M,
oewn-11235714-n,"Opel, Wilhelm von Opel",German industrialist who was the first in Germany to use an assembly line in manufacturing automobiles (1871-1948),M,
oewn-10511160-n,"publisher, newspaper publisher",the proprietor of a newspaper,M,
oewn-10478085-n,proprietress,a woman proprietor,M,
oewn-10995198-n,"Henry Ford II, Ford",grandson of Henry Ford (1917-1987),M,
oewn-10995097-n,"Ford, Edsel Bryant Ford, Edsel Ford",son of Henry Ford (1893-1943),M,
oewn-11135548-n,"Din Land, Land, Edwin H. Land, Edwin Herbert Land",United States inventor who incorporated Polaroid film into lenses and invented the one step photographic process (1909-1991),M,
oewn-10994584-n,"Henry Ford, Ford",United States manufacturer of automobiles who pioneered mass production (1863-1947),M,
oewn-09885879-n,bookseller,the proprietor of a bookstore,M,
oewn-10408623-n,"owner, proprietor",(law) someone who owns (is legal possessor of) a business,M,
oewn-10946855-n,"John Deere, Deere",United States industrialist who manufactured plows suitable for working the prairie soil (1804-1886),M,
oewn-10743233-n,transactor,someone who conducts or carries on business or negotiations,M,
oewn-10274904-n,letter,owner who lets another person use something (housing usually) for hire,M,
oewn-10428069-n,patron,the proprietor of an inn,M,
oewn-10398479-n,operator,someone who owns or operates a business,M,
oewn-11310097-n,"Scripps, James E. Scripps, James Edmund Scripps",United States newspaper publisher and half-brother of Edward Wyllis Scripps (1835-1908),M,
oewn-11058653-n,"Heinz, Henry J. Heinz, Henry John Heinz",United States industrialist who manufactured and sold processed foods (1844-1919),M,
oewn-11327932-n,"Solvay, Ernest Solvay",Belgian chemist who developed the Solvay process and built factories exploiting it (1838-1922),M,
oewn-11049294-n,"Harmsworth, Alfred Charles William Harmsworth, Alfred Harmsworth, Viscount Northcliffe",British newspaper publisher (1865-1922),M,
oewn-10859387-n,"Beaverbrook, 1st Baron Beaverbrook, William Maxwell Aitken, Max Aitken",British newspaper publisher and politician (born in Canada); confidant of Winston Churchill (1879-1964),M,
oewn-09823223-n,"arb, arbitrager, arbitrageur",someone who engages in arbitrage (who purchases securities in one market for immediate resale in another in the hope of profiting from the price differential),M,
oewn-10394351-n,oilman,a person who owns or operates oil wells,M,
oewn-10938431-n,"Glenn Curtiss, Glenn Hammond Curtiss, Curtiss",United States industrialist and aviation pioneer (1878-1930),M,
oewn-10940761-n,"Gottlieb Daimler, Daimler",German engineer and automobile manufacturer who produced the first high-speed internal combustion engine (1834-1900),M,
oewn-11287103-n,"John D. Rockefeller, John Davison Rockefeller, Rockefeller",United States industrialist who made a fortune in the oil business and gave half of it away (1839-1937),M,
oewn-11038858-n,"Guggenheim, Meyer Guggenheim",United States industrialist (born in Switzerland) who with his sons established vast mining and metal processing companies (1828-1905),M,
oewn-11079074-n,"Hoover, William Henry Hoover, William Hoover",United States industrialist who manufactured vacuum cleaners (1849-1932),M,
oewn-11268416-n,"Joseph Pulitzer, Pulitzer",United States newspaper publisher (born in Hungary) who established the Pulitzer prizes (1847-1911),M,
oewn-10967620-n,"George Eastman, Eastman",United States inventor of a dry-plate process of developing photographic film and of flexible film (his firm introduced roll film) and of the box camera and of a process for color photography (1854-1932),M,
oewn-09859605-n,"mogul, king, power, baron, big businessman, business leader, top executive, tycoon, magnate",a very wealthy or powerful businessman,M,
oewn-10801223-n,wildcatter,an oilman who drills exploratory wells in territory not known to be an oil field,M,
oewn-11050256-n,"Benjamin Harris, Harris",publisher of the first newspaper printed in America (1673-1713),M,
oewn-11084829-n,"Howard Hughes, Howard Robard Hughes, Hughes",United States industrialist who was an aviator and a film producer; during the last years of his life he was a total recluse (1905-1976),M,
oewn-10223796-n,industrialist,someone who manages or has significant financial interest in an industrial enterprise,M,
oewn-11131700-n,"Friedrich Alfred Krupp, Friedrich Krupp, Krupp",German industrialist who manufactured steel in Essen (1787-1826),M,
oewn-10772850-n,"victualer, victualler",an innkeeper (especially British),M,
oewn-11240139-n,"Sir Frederick Handley Page, Page",English industrialist who pioneered in the design and manufacture of aircraft (1885-1962),M,
oewn-10206678-n,hostess,a woman innkeeper,M,
oewn-10544462-n,"restauranter, restaurateur",the proprietor of a restaurant,M,
oewn-10206393-n,"host, innkeeper, boniface",the owner or manager of an inn,M,
oewn-11020168-n,"Gillette, King C. Gillette, King Camp Gilette",United States inventor and manufacturer who developed the safety razor (1855-1932),M,
oewn-11230373-n,"First Viscount Nuffield, William Morris, William Richard Morris, Nuffield",British industrialist who manufactured automobiles and created a philanthropic foundation (1877-1963),M,
oewn-11057274-n,"Hearst, William Randolph Hearst",United States newspaper publisher whose introduction of large headlines and sensational reporting changed American journalism (1863-1951),M,
oewn-10929223-n,"Peter Cooper, Cooper",United States industrialist who built the first American locomotive; founded Cooper Union in New York City to offer free courses in the arts and sciences (1791-1883),M,
oewn-10274793-n,"lease giver, lessor",someone who grants a lease,M,
oewn-11310262-n,"Scripps, E. W. Scripps, Edward Wyllis Scripps",United States newspaper publisher who founded an important press association; half-brother of James Edmund Scripps (1854-1926),M,
oewn-10695653-n,"supermarketeer, supermarketer",an operator of a supermarket,M,
oewn-10394548-n,oil tycoon,a powerful person in the oil business,M,
oewn-10902740-n,"Andrew Carnegie, Carnegie",United States industrialist and philanthropist who endowed education and public libraries and research trusts (1835-1919),M,
oewn-10568533-n,saloon keeper,the proprietor of a saloon,M,
oewn-09971196-n,"concessionaire, concessioner",someone who holds or operates a concession,M,
oewn-09806363-n,amalgamator,a businessman who arranges an amalgamation of two or more commercial companies,M,
oewn-11239111-n,"Owen, Robert Owen",Welsh industrialist and social reformer who founded cooperative communities (1771-1858),M,
oewn-11002291-n,"Henry Clay Frick, Frick",United States industrialist who amassed a fortune in the steel industry (1849-1919),M,
oewn-11320084-n,"Igor Ivanovich Sikorsky, Igor Sikorsky, Sikorsky",United States industrialist (born in Russia) who designed the first four-engine airplane and the first mass-produced helicopter (1889-1972),M,
oewn-10410506-n,padrone,an owner or proprietor of an inn in Italy,M,
oewn-10540397-n,renter,an owner of property who receives payment for its use by another person,M,
oewn-11238280-n,"Otis, Elisha Graves Otis, Elisha Otis",United States inventor who manufactured the first elevator with a safety device (1811-1861),M,
oewn-10706521-n,syndicator,a businessman who forms a syndicate,M,
oewn-84232664-n,bionic man,a male human being whose body has been taken over in whole or in part by electromechanical devices,F,
oewn-85626490-n,baby papa,the father of at least one of your children,F,
oewn-80035492-n,freeman,a male person who is not a serf or a slave,F,
oewn-86250495-n,Frenchman,a male person of French nationality,F,
oewn-83179919-n,chairman,the male officer who presides at the meetings of an organization,F,
oewn-80186365-n,alumnus,a male person who has received a degree from a school (high school or college or university),F,
oewn-88005275-n,king,a male competitor who holds a preeminent position,F,
oewn-87657220-n,yachtsman,a male person who owns or sails a yacht,F,
oewn-81650724-n,clansman,a male member of a clan,F,
oewn-87306750-n,"pressman, newspaperman",a male journalist employed to provide news stories for newspapers or broadcast media,F,
oewn-83347365-n,juryman,a male who serves (or waits to be called to serve) on a jury,F,
oewn-86947054-n,blond,a male person with fair skin and hair,F,
oewn-86419394-n,freedman,a male person who has been freed from slavery,F,
oewn-83734211-n,stunt man,a male stand-in for movie stars to perform dangerous stunts,F,
oewn-88651493-n,sportsman,a male who engages in sports,F,
oewn-85259651-n,bondsman,a male who signs a bond as surety for someone else,F,
oewn-83115757-n,congressman,a male member of the United States House of Representatives,F,
oewn-83000076-n,wonder man,a man who can be a succesful husband and care for his children,F,
oewn-82904005-n,kept man,an adulterous man; a man who has an ongoing extramarital sexual relationship with a woman,F,
